ID,logFC,P.Value
ILMN_3289779,-0.79657513,0.0082324
ILMN_2189406,-0.57301051,0.0082548
ILMN_1688094,0.62672683,0.0082835
ILMN_1703108,-0.59482472,0.0082924
ILMN_1725314,-0.98118512,0.0083152
ILMN_2216637,-1.07685692,0.0083274
ILMN_1691249,-0.63168836,0.0083417
ILMN_1747650,1.87164316,0.0084064
ILMN_2092118,0.91402583,0.0084088
ILMN_3229570,-0.56839119,0.0084186
ILMN_3248443,-0.60898738,0.0084475
ILMN_2276000,0.64554136,0.0084777
ILMN_1786823,-1.43457416,0.0084822
ILMN_1785717,0.61446262,0.0085186
ILMN_2357730,-0.68738562,0.0085212
ILMN_3214532,-0.56730825,0.0085447
ILMN_1756862,-1.14824951,0.0085764
ILMN_1796471,-1.33744873,0.0085849
ILMN_1799113,-0.82606359,0.0086159
ILMN_1804798,-1.22502843,0.0086701
ILMN_1717599,1.0216566,0.0086977
ILMN_1674386,-1.47756439,0.0087056
ILMN_1835631,0.5649104,0.0087179
ILMN_1811616,0.68411573,0.0087231
ILMN_1801302,-0.90440247,0.0087721
ILMN_2139761,1.24093397,0.0087856
ILMN_1745471,-0.74771328,0.008852
ILMN_1799487,-0.9964769,0.0088544
ILMN_1663171,1.69409473,0.0088615
ILMN_2240003,-0.65814077,0.0089034
ILMN_1715896,-0.59053184,0.0089556
ILMN_1769299,-1.59210614,0.0089867
ILMN_1786168,-1.0053451,0.0090346
ILMN_1755419,0.65597748,0.0090469
ILMN_1677262,-0.68018106,0.009048
ILMN_1773031,-0.72900635,0.009072
ILMN_2367671,0.85998857,0.0090765
ILMN_2059452,0.59939351,0.0091038
ILMN_3257430,-0.61059153,0.0091481
ILMN_1728768,-0.6461435,0.009162
ILMN_1807649,0.59629666,0.0091713
ILMN_1665982,-0.62343822,0.0092437
ILMN_1735788,-1.21261352,0.0092711
ILMN_1733538,-1.32300356,0.0093436
ILMN_1810376,-2.00672857,0.0093446
ILMN_3251662,-1.34164563,0.0093563
ILMN_2276290,-0.74671376,0.009367
ILMN_3299447,0.6493499,0.0093689
ILMN_1772991,0.66373387,0.0093721
ILMN_2251804,-0.63009814,0.0093808
ILMN_1752226,0.73890361,0.0093935
ILMN_1789338,-0.82803453,0.0094517
ILMN_3221432,1.16299699,0.0094813
ILMN_1732538,3.76431624,0.0094901
ILMN_3178302,0.64648742,0.0095072
ILMN_1739605,0.69780092,0.009544
ILMN_1670353,-1.12856642,0.0095543
ILMN_1811624,0.57940545,0.0095656
ILMN_1691149,0.60861158,0.0095887
ILMN_1905075,0.57086542,0.0095988
ILMN_1707695,-1.7215146,0.0096069
